YEAR,Site,DATE,SU,REP,TRT,PLANT,PM
2020,Toppenish,5/13/2020,Leaf,VII,1,6,0
2020,Toppenish,5/13/2020,Leaf,VII,1,7,0
2020,Toppenish,5/13/2020,Leaf,VII,1,8,0
2020,Toppenish,5/13/2020,Leaf,VII,1,9,0
2020,Toppenish,5/13/2020,Leaf,VII,1,10,0
2020,Toppenish,5/13/2020,Leaf,I,2,1,1
2020,Toppenish,5/13/2020,Leaf,I,2,2,2
2020,Toppenish,5/13/2020,Leaf,I,2,3,0
2020,Toppenish,5/13/2020,Leaf,I,2,4,1
2020,Toppenish,5/13/2020,Leaf,I,2,5,1
2020,Toppenish,5/13/2020,Leaf,I,2,6,0
2020,Toppenish,5/13/2020,Leaf,I,2,7,0
2020,Toppenish,5/13/2020,Leaf,I,2,8,0
2020,Toppenish,5/13/2020,Leaf,I,2,9,1
2020,Toppenish,5/13/2020,Leaf,I,2,10,0
2020,Toppenish,5/13/2020,Leaf,II,2,1,0
2020,Toppenish,5/13/2020,Leaf,II,2,2,0
2020,Toppenish,5/13/2020,Leaf,II,2,3,0
2020,Toppenish,5/13/2020,Leaf,II,2,4,0
2020,Toppenish,5/13/2020,Leaf,II,2,5,0
2020,Toppenish,5/13/2020,Leaf,II,2,6,1
2020,Toppenish,5/13/2020,Leaf,II,2,7,0
2020,Toppenish,5/13/2020,Leaf,II,2,8,0
2020,Toppenish,5/13/2020,Leaf,II,2,9,0
2020,Toppenish,5/13/2020,Leaf,II,2,10,0
2020,Toppenish,5/13/2020,Leaf,III,2,1,1
2020,Toppenish,5/13/2020,Leaf,III,2,2,0
2020,Toppenish,5/13/2020,Leaf,III,2,3,0
2020,Toppenish,5/13/2020,Leaf,III,2,4,0
2020,Toppenish,5/13/2020,Leaf,III,2,5,0
2020,Toppenish,5/13/2020,Leaf,III,2,6,1
2020,Toppenish,5/13/2020,Leaf,III,2,7,1
2020,Toppenish,5/13/2020,Leaf,III,2,8,0
2020,Toppenish,5/13/2020,Leaf,III,2,9,0
2020,Toppenish,5/13/2020,Leaf,III,2,10,0
2020,Toppenish,5/13/2020,Leaf,IV,2,1,0
2020,Toppenish,5/13/2020,Leaf,IV,2,2,0
2020,Toppenish,5/13/2020,Leaf,IV,2,3,0
2020,Toppenish,5/13/2020,Leaf,IV,2,4,0
2020,Toppenish,5/13/2020,Leaf,IV,2,5,0
2020,Toppenish,5/13/2020,Leaf,IV,2,6,2
2020,Toppenish,5/13/2020,Leaf,IV,2,7,1
2020,Toppenish,5/13/2020,Leaf,IV,2,8,0
2020,Toppenish,5/13/2020,Leaf,IV,2,9,0
2020,Toppenish,5/13/2020,Leaf,IV,2,10,0
2020,Toppenish,5/13/2020,Leaf,V,2,1,0
2020,Toppenish,5/13/2020,Leaf,V,2,2,0
2020,Toppenish,5/13/2020,Leaf,V,2,3,0
2020,Toppenish,5/13/2020,Leaf,V,2,4,0
2020,Toppenish,5/13/2020,Leaf,V,2,5,0
2020,Toppenish,5/13/2020,Leaf,V,2,6,0
2020,Toppenish,5/13/2020,Leaf,V,2,7,0
2020,Toppenish,5/13/2020,Leaf,V,2,8,0
2020,Toppenish,5/13/2020,Leaf,V,2,9,1
2020,Toppenish,5/13/2020,Leaf,V,2,10,0
2020,Toppenish,5/13/2020,Leaf,VI,2,1,1
2020,Toppenish,5/13/2020,Leaf,VI,2,2,0
2020,Toppenish,5/13/2020,Leaf,VI,2,3,0
2020,Toppenish,5/13/2020,Leaf,VI,2,4,0
2020,Toppenish,5/13/2020,Leaf,VI,2,5,0
2020,Toppenish,5/13/2020,Leaf,VI,2,6,0
2020,Toppenish,5/13/2020,Leaf,VI,2,7,0
2020,Toppenish,5/13/2020,Leaf,VI,2,8,1
2020,Toppenish,5/13/2020,Leaf,VI,2,9,0
2020,Toppenish,5/13/2020,Leaf,VI,2,10,1
2020,Toppenish,5/13/2020,Leaf,VII,2,1,0
2020,Toppenish,5/13/2020,Leaf,VII,2,2,0
2020,Toppenish,5/13/2020,Leaf,VII,2,3,0
2020,Toppenish,5/13/2020,Leaf,VII,2,4,0
2020,Toppenish,5/13/2020,Leaf,VII,2,5,0
2020,Toppenish,5/13/2020,Leaf,VII,2,6,0
2020,Toppenish,5/13/2020,Leaf,VII,2,7,0
2020,Toppenish,5/13/2020,Leaf,VII,2,8,3
2020,Toppenish,5/13/2020,Leaf,VII,2,9,0
2020,Toppenish,5/13/2020,Leaf,VII,2,10,0
2020,Toppenish,5/13/2020,Leaf,I,3,1,0
2020,Toppenish,5/13/2020,Leaf,I,3,2,0
2020,Toppenish,5/13/2020,Leaf,I,3,3,0
2020,Toppenish,5/13/2020,Leaf,I,3,4,0
2020,Toppenish,5/13/2020,Leaf,I,3,5,0
2020,Toppenish,5/13/2020,Leaf,I,3,6,0
2020,Toppenish,5/13/2020,Leaf,I,3,7,1
2020,Toppenish,5/13/2020,Leaf,I,3,8,0
