 Year,State,Station,PMI,Sprays,Interval,MeanIndex,MedianIndex,Std
2016,WA,Mabton.E,28C_4C_4h,9,8.67,70.51,80,33.22
2017,WA,Mabton.E,30C,9,8.67,58.08,60,32.36
2017,WA,Mabton.E,28C,7,11.14,41.03,40,35.07
2017,WA,Mabton.E,28C_4C,7,11.14,26.03,20,28.21
2017,WA,Mabton.E,28C_4C_4h,7,11.14,39.87,40,35.87
2018,WA,Mabton.E,30C,9,8.67,74.23,90,31.44
2018,WA,Mabton.E,28C,9,8.67,54.49,60,36.95
2018,WA,Mabton.E,28C_4C,8,9.75,42.44,35,35.57
2018,WA,Mabton.E,28C_4C_4h,8,9.75,49.36,50,35.25
2019,WA,Mabton.E,30C,9,8.67,67.05,70,31.75
2019,WA,Mabton.E,28C,9,8.67,51.03,50,36.98
2019,WA,Mabton.E,28C_4C,9,8.67,50.13,50,36.02
2019,WA,Mabton.E,28C_4C_4h,9,8.67,50.26,50,36.18
2020,WA,Mabton.E,30C,9,8.7,85,100,28
2020,WA,Mabton.E,28C,9,8.7,83.2,100,30
2020,WA,Mabton.E,28C_4C,9,8.7,75.4,90,32
2020,WA,Mabton.E,28C_4C_4h,9,8.7,78.2,90,30
2021,WA,Mabton.E,30C,9,8.67,74.62,95,35.63
2021,WA,Mabton.E,28C,9,8.67,70.26,90,37.73
2021,WA,Mabton.E,28C_4C,9,8.67,60.38,80,41.73
2021,WA,Mabton.E,28C_4C_4h,9,8.67,60.38,80,41.73
2022,WA,Mabton.E,30C,9,8.7,67.8,80,33
2022,WA,Mabton.E,28C,9,8.7,66.9,80,33
2022,WA,Mabton.E,28C_4C,8,9.8,50.5,60,40
2022,WA,Mabton.E,28C_4C_4h,8,9.8,52.9,60,40
2016,WA,Wapato,30C,10,7.8,89.87,100,20.16
2016,WA,Wapato,28C,9,8.67,83.33,100,28.77
2016,WA,Wapato,28C_4C,9,8.67,82.31,100,28.51
2016,WA,Wapato,28C_4C_4h,9,8.67,82.82,100,28.69
2017,WA,Wapato,30C,9,8.67,58.72,65,36.87
2017,WA,Wapato,28C,8,9.75,48.72,50,35.87
2017,WA,Wapato,28C_4C,7,11.14,39.49,30,36.36
2017,WA,Wapato,28C_4C_4h,8,9.75,40.77,30,35.88
2018,WA,Wapato,30C,10,7.8,77.05,90,29.72
2018,WA,Wapato,28C,9,8.67,61.41,75,37.06
2018,WA,Wapato,28C_4C,8,9.75,52.31,55,39.38
2018,WA,Wapato,28C_4C_4h,8,9.75,55.64,60,38.56
2019,WA,Wapato,30C,10,7.8,84.23,100,26.26
2019,WA,Wapato,28C,9,8.67,71.41,90,34.06
2019,WA,Wapato,28C_4C,9,8.67,70.9,85,33.74
2019,WA,Wapato,28C_4C_4h,9,8.67,71.15,85,33.92
2020,WA,Wapato,30C,.,.,.,.,.
2020,WA,Wapato,28C,.,.,.,.,.
2020,WA,Wapato,28C_4C,.,.,.,.,.
2020,WA,Wapato,28C_4C_4h,.,.,.,.,.
2021,WA,Wapato,30C,9,8.7,74.5,90,34
2021,WA,Wapato,28C,9,8.7,67.2,80,36
2021,WA,Wapato,28C_4C,8,9.8,55.8,60,35
2021,WA,Wapato,28C_4C_4h,9,8.7,66.2,80,36
2022,WA,Wapato,30C,9,8.7,62.3,80,38
2022,WA,Wapato,28C,8,9.8,59.4,70,38
2022,WA,Wapato,28C_4C,8,9.8,50.1,55,42
2022,WA,Wapato,28C_4C_4h,8,9.8,54.5,65,41
2016,WA,Moxee.SE,30C,9,8.67,86.28,100,24.87
2016,WA,Moxee.SE,28C,9,8.67,83.72,100,27.87
2016,WA,Moxee.SE,28C_4C,8,9.75,61.79,65,34.97
2016,WA,Moxee.SE,28C_4C_4h,8,9.75,70.9,90,34.83
2017,WA,Moxee.SE,30C,9,8.67,56.03,60,35.91
2017,WA,Moxee.SE,28C,7,11.14,44.62,45,36.28
2017,WA,Moxee.SE,28C_4C,7,11.14,26.41,10,31.79
2017,WA,Moxee.SE,28C_4C_4h,7,11.14,33.46,20,36.5
2018,WA,Moxee.SE,30C,10,7.8,75.26,90,29.88
2018,WA,Moxee.SE,28C,9,8.67,66.41,80,33.69
2018,WA,Moxee.SE,28C_4C,8,9.75,38.59,30,33.53
2018,WA,Moxee.SE,28C_4C_4h,8,9.75,55.64,60,34.51
2019,WA,Moxee.SE,30C,9,8.67,74.23,90,31.44
2019,WA,Moxee.SE,28C,9,8.67,68.33,80,33.24
2019,WA,Moxee.SE,28C_4C,9,8.67,58.97,60,30.77
2019,WA,Moxee.SE,28C_4C_4h,9,8.67,64.74,70,32.06
2020,WA,Moxee.SE,30C,10,7.8,87.9,100,21
2020,WA,Moxee.SE,28C,10,7.8,84.2,100,26
2020,WA,Moxee.SE,28C_4C,9,8.7,72.4,85,31
2020,WA,Moxee.SE,28C_4C_4h,9,8.7,69.9,80,31
2021,WA,Moxee.SE,30C,9,8.7,71.4,80,33
